gender,type,leading,following,key,ID
female,flat,,,flat-low,01F-LOW
female,flat,,,flat-high,01F-HIGH
female,single,fear,,fear,01F-FR
female,single,self-rejection,,self-rejection,01F-SR
female,single,false-hope,,false-hope,01F-FH
female,single,false-power,,false-power,01F-FP
female,single,emotional-numbing,,emotional-numbing,01F-EM
female,dual,fear,self-rejection,fear_self-rejection,01F-FR-SR
female,dual,fear,false-hope,fear_false-hope,01F-FR-FH
female,dual,fear,false-power,fear_false-power,01F-FR-FP
female,dual,fear,emotional-numbing,fear_emotional-numbing,01F-FR-EM
female,dual,self-rejection,fear,self-rejection_fear,01F-SR-FR
female,dual,self-rejection,false-hope,self-rejection_false-hope,01F-SR-FH
female,dual,self-rejection,false-power,self-rejection_false-power,01F-SR-FP
female,dual,self-rejection,emotional-numbing,self-rejection_emotional-numbing,01F-SR-EM
female,dual,false-hope,fear,false-hope_fear,01F-FH-FR
female,dual,false-hope,self-rejection,false-hope_self-rejection,01F-FH-SR
female,dual,false-hope,false-power,false-hope_false-power,01F-FH-FP
female,dual,false-hope,emotional-numbing,false-hope_emotional-numbing,01F-FH-EM
female,dual,false-power,fear,false-power_fear,01F-FP-FR
female,dual,false-power,self-rejection,false-power_self-rejection,01F-FP-SR
female,dual,false-power,false-hope,false-power_false-hope,01F-FP-FH
female,dual,false-power,emotional-numbing,false-power_emotional-numbing,01F-FP-EM
female,dual,emotional-numbing,fear,emotional-numbing_fear,01F-EM-FR
female,dual,emotional-numbing,self-rejection,emotional-numbing_self-rejection,01F-EM-SR
female,dual,emotional-numbing,false-hope,emotional-numbing_false-hope,01F-EM-FH
female,dual,emotional-numbing,false-power,emotional-numbing_false-power,01F-EM-FP
male,flat,,,flat-low,01M-LOW
male,flat,,,flat-high,01M-HIGH
male,single,fear,,fear,01M-FR
male,single,self-rejection,,self-rejection,01M-SR
male,single,false-hope,,false-hope,01M-FH
male,single,false-power,,false-power,01M-FP
male,single,emotional-numbing,,emotional-numbing,01M-EM
male,dual,fear,self-rejection,fear_self-rejection,01M-FR-SR
male,dual,fear,false-hope,fear_false-hope,01M-FR-FH
male,dual,fear,false-power,fear_false-power,01M-FR-FP
male,dual,fear,emotional-numbing,fear_emotional-numbing,01M-FR-EM
male,dual,self-rejection,fear,self-rejection_fear,01M-SR-FR
male,dual,self-rejection,false-hope,self-rejection_false-hope,01M-SR-FH
male,dual,self-rejection,false-power,self-rejection_false-power,01M-SR-FP
male,dual,self-rejection,emotional-numbing,self-rejection_emotional-numbing,01M-SR-EM
male,dual,false-hope,fear,false-hope_fear,01M-FH-FR
male,dual,false-hope,self-rejection,false-hope_self-rejection,01M-FH-SR
male,dual,false-hope,false-power,false-hope_false-power,01M-FH-FP
male,dual,false-hope,emotional-numbing,false-hope_emotional-numbing,01M-FH-EM
male,dual,false-power,fear,false-power_fear,01M-FP-FR
male,dual,false-power,self-rejection,false-power_self-rejection,01M-FP-SR
male,dual,false-power,false-hope,false-power_false-hope,01M-FP-FH
male,dual,false-power,emotional-numbing,false-power_emotional-numbing,01M-FP-EM
male,dual,emotional-numbing,fear,emotional-numbing_fear,01M-EM-FR
male,dual,emotional-numbing,self-rejection,emotional-numbing_self-rejection,01M-EM-SR
male,dual,emotional-numbing,false-hope,emotional-numbing_false-hope,01M-EM-FH
male,dual,emotional-numbing,false-power,emotional-numbing_false-power,01M-EM-FP
