type,leading,following,key,ID,intro (NL),intro (EN)
single,fear,,fear,01-FR,,
single,self-rejection,,self-rejection,01-SR,,
single,false-hope,,false-hope,01-FH,,
single,false-power,,false-power,01-FP,,
single,emotional-numbing,,emotional-numbing,01-EM,,
dual,fear,self-rejection,fear_self-rejection,01-FR-SR,,
dual,fear,false-hope,fear_false-hope,01-FR-FH,,
dual,fear,false-power,fear_false-power,01-FR-FP,,
dual,fear,emotional-numbing,fear_emotional-numbing,01-FR-EM,,
dual,self-rejection,fear,self-rejection_fear,01-SR-FR,,
dual,self-rejection,false-hope,self-rejection_false-hope,01-SR-FH,,
dual,self-rejection,false-power,self-rejection_false-power,01-SR-FP,,
dual,self-rejection,emotional-numbing,self-rejection_emotional-numbing,01-SR-EM,,
dual,false-hope,fear,false-hope_fear,01-FH-FR,,
dual,false-hope,self-rejection,false-hope_self-rejection,01-FH-SR,,
dual,false-hope,false-power,false-hope_false-power,01-FH-FP,,
dual,false-hope,emotional-numbing,false-hope_emotional-numbing,01-FH-EM,,
dual,false-power,fear,false-power_fear,01-FP-FR,,
dual,false-power,self-rejection,false-power_self-rejection,01-FP-SR,,
dual,false-power,false-hope,false-power_false-hope,01-FP-FH,,
dual,false-power,emotional-numbing,false-power_emotional-numbing,01-FP-EM,,
dual,emotional-numbing,fear,emotional-numbing_fear,01-EM-FR,,
dual,emotional-numbing,self-rejection,emotional-numbing_self-rejection,01-EM-SR,,
dual,emotional-numbing,false-hope,emotional-numbing_false-hope,01-EM-FH,,
dual,emotional-numbing,false-power,emotional-numbing_false-power,01-EM-FP,,
