[     755ms] [LOG] %c[RHP] SOURCE: LOCALHOST color: #ff8200; font-weight: bold @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:171
[     977ms] [LOG] RHP script versions (loaded): @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:258
[     977ms] [TABLE] {init (loader): 2026.3.17.1, lenis-manager.js: 2026.2.6.10, cursor.js: 2026.2.18.1 (transitionDuration: 0.25), work-dial.js: 2026.3.19.2, transition-dial.js: 2026.3.17.1, about-dial-ticks.js: 2026.3.17.1, about-text-lines.js: 2026.2.13.1, intro-format.js: —, earth-parallax.js: 2026.2.23.1, case-video-controls.js: 2026.3.27.1, video-loader.js: 2026.3.17.1, orchestrator.js: 2026.3.19.1, utils.js: —} @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:259
[     977ms] [LOG] RHP load check: lenis-manager.js: OK (2026.2.6.10) | cursor.js: OK (2026.2.18.1) | work-dial.js: OK (2026.3.19.2) | transition-dial.js: OK (2026.3.17.1) | about-dial-ticks.js: OK (2026.3.17.1) | about-text-lines.js: OK (2026.2.13.1) | intro-format.js: OK (—) | earth-parallax.js: OK (2026.2.23.1) | case-video-controls.js: OK (2026.3.27.1) | video-loader.js: OK (2026.3.17.1) | orchestrator.js: OK (2026.3.19.1) | utils.js: OK (—) | version: 2026.3.17.1 @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:261
[     977ms] [LOG] RHP GSAP: gsap OK (3.14.2) | ScrollTrigger: OK | Flip: OK | SplitText: OK @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:268
[     977ms] [LOG] ✅ RHP: all 12 scripts present @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:273
[     977ms] [LOG] ✅ RHP scripts loaded successfully @ https://cdn.jsdelivr.net/gh/studiozissou/webflow-scripts@cd8edf1/projects/ready-hit-play-prod/init.js?v=7:278
[   94884ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[   94884ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ https://download-video-ak.vimeocdn.com/v3-1/playback/675980ad-b223-4c54-875c-1e9f1a357e61/79931d3a-7c2d46a9?__token__=st=1775124346~exp=1775127946~acl=%2Fv3-1%2Fplayback%2F675980ad-b223-4c54-875c-1e9f1a357e61%2F79931d3a-7c2d46a9%2A~hmac=9672aeb52fceb5fd73e01d834767ecd02ba388da4bbd1002ea77569064aa09fc&r=dXMtY2VudHJhbDE%3D:0
[   94886ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ https://download-video-ak.vimeocdn.com/v3-1/playback/675980ad-b223-4c54-875c-1e9f1a357e61/79931d3a-7c2d46a9?__token__=st=1775124347~exp=1775127947~acl=%2Fv3-1%2Fplayback%2F675980ad-b223-4c54-875c-1e9f1a357e61%2F79931d3a-7c2d46a9%2A~hmac=29ce57a211cb31676e7a9e96ce90d68d552bfccad2dea5484e63b7d6fcfe9e03&r=dXMtY2VudHJhbDE%3D:0
[  545839ms] [ERROR] Failed to load resource: net::ERR_NETWORK_CHANGED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[  546245ms] [ERROR] Failed to load resource: net::ERR_INTERNET_DISCONNECTED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[  546612ms] [ERROR] Failed to load resource: net::ERR_INTERNET_DISCONNECTED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[  547020ms] [ERROR] Failed to load resource: net::ERR_INTERNET_DISCONNECTED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[  547479ms] [ERROR] Failed to load resource: net::ERR_INTERNET_DISCONNECTED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[  547983ms] [ERROR] Failed to load resource: net::ERR_INTERNET_DISCONNECTED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
[ 1821236ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_CLOSED @ https://download-video-ak.vimeocdn.com/v3-1/playback/00c38413-b4d2-42e0-9b56-6a4b3ffdab0c/c80cc968?__token__=st=1775124291~exp=1775127891~acl=%2Fv3-1%2Fplayback%2F00c38413-b4d2-42e0-9b56-6a4b3ffdab0c%2Fc80cc968%2A~hmac=0fb810b4d46b773cac4f0b90f2e75a68e67fec343f24f97f411f9d9512e79307&r=dXMtZWFzdDE%3D:0
