url	group	tier	current_length	proposed_length	rule	current_title	proposed_title
https://www.tamsenfadal.com/podcast/tired-of-holding-it-together-founder-of-the-we-do-not-care-club-shares-her-method-for-letting-go	podcast	editorial	138	69	truncated	Tired of Holding It Together? Founder of the We Do Not Care Club Shares Her Method for Letting Go | The Tamsen Show Podcast | Tamsen Fadal	Tired of Holding It Together? Founder of the We Do Not | Tamsen Fadal
https://www.tamsenfadal.com/blog/psychologist-explains-emotional-loneliness-in-midlife-the-tamsen-show	blog	editorial	137	68	truncated	Psychologist Explains Emotional Loneliness in Midlife and Why You Feel Invisible, Even in a Crowd | The Tamsen Show | Blog | Tamsen Fadal	Psychologist Explains Emotional Loneliness in Midlife | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-anxiety-scientist-feeling-overwhelmed-rewire-your-brain-with-this-science-backed-method	podcast	auto	134	36	before-colon	The Anxiety Scientist: Feeling Overwhelmed? Rewire Your Brain With This Science-Backed Method | The Tamsen Show Podcast | Tamsen Fadal	The Anxiety Scientist | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-glp-1-doctor-what-works-what-doesnt-whats-next	podcast	auto	128	34	before-colon	The #1 GLP-1 Doctor: What Works, What Doesn’t & What’s Next with Dr. Rocio Salas-Whalen | The Tamsen Show Podcast | Tamsen Fadal	The #1 GLP-1 Doctor | Tamsen Fadal
https://www.tamsenfadal.com/podcast/build-strength-after-40-how-to-future-proof-your-body-starting-today-with-will-harlow	podcast	auto	127	38	before-colon	Build Strength After 40: How to Future-Proof Your Body Starting Today with Will Harlow | The Tamsen Show Podcast | Tamsen Fadal	Build Strength After 40 | Tamsen Fadal
https://www.tamsenfadal.com/podcast/emma-heming-willis-on-bruce-willis-caregiving-and-the-diagnosis-she-never-saw-coming	podcast	editorial	127	70	truncated	Emma Heming Willis on Bruce Willis, Caregiving, and the Diagnosis She Never Saw Coming | The Tamsen Show Podcast | Tamsen Fadal	Emma Heming Willis on Bruce Willis, Caregiving, and the | Tamsen Fadal
https://www.tamsenfadal.com/podcast/progesterone-101-the-hormone-behind-your-3am-wake-ups-your-anxiety-your-worst-pms	podcast	auto	126	31	before-colon	Progesterone 101: The Hormone Behind Your 3am Wake-Ups, Your Anxiety & Your Worst PMS | The Tamsen Show Podcast | Tamsen Fadal	Progesterone 101 | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-1-pharmacist-creatine-greens-electrolytes-whats-worth-buying-and-what-isnt	podcast	auto	126	32	before-colon	The #1 Pharmacist: Creatine, Greens, Electrolytes, What's Worth Buying and What Isn't | The Tamsen Show Podcast | Tamsen Fadal	The #1 Pharmacist | Tamsen Fadal
https://www.tamsenfadal.com/blog/is-midlife-a-crisis-or-a-chrysalis-what-chip-conley-discovered-after-dying-nine-times-the-tamsen-show	blog	editorial	126	67	truncated	Is Midlife a Crisis or a Chrysalis? What Chip Conley Discovered After Dying Nine Times | The Tamsen Show | Blog | Tamsen Fadal	Is Midlife a Crisis or a Chrysalis? What Chip Conley | Tamsen Fadal
https://www.tamsenfadal.com/podcast/perimenopause-explained-dr-mary-claire-haver-on-hormones-sleep-and-mental-health	podcast	auto	125	38	before-colon	Perimenopause Explained: Dr. Mary Claire Haver on Hormones, Sleep, and Mental Health | The Tamsen Show Podcast | Tamsen Fadal	Perimenopause Explained | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-menopause-brain-top-neuroscientist-shares-new-data-on-brain-fog-and-alzheimers	podcast	auto	125	34	before-colon	The Menopause Brain: Top Neuroscientist Shares New Data on Brain Fog and Alzheimer's | The Tamsen Show Podcast | Tamsen Fadal	The Menopause Brain | Tamsen Fadal
https://www.tamsenfadal.com/podcast/anxiety-101-what-i-wish-i-knew-before-i-hit-perimenopause-how-i-got-my-life-back	podcast	editorial	124	59	truncated	Anxiety 101: What I Wish I Knew Before I Hit Perimenopause + How I Got My Life Back | The Tamsen Show Podcast | Tamsen Fadal	Anxiety 101: What I Wish I Knew Before I Hit | Tamsen Fadal
https://www.tamsenfadal.com/podcast/shannon-elizabeth-the-american-pie-star-on-starting-over-getting-her-power-back	podcast	auto	123	32	before-colon	Shannon Elizabeth: The American Pie Star on Starting Over & Getting Her Power Back | The Tamsen Show Podcast | Tamsen Fadal	Shannon Elizabeth | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-hormone-doctor-the-truth-about-cortisol-estrogen-and-balancing-your-hormones	podcast	auto	123	33	before-colon	The Hormone Doctor: The Truth About Cortisol, Estrogen and Balancing Your Hormones | The Tamsen Show Podcast | Tamsen Fadal	The Hormone Doctor | Tamsen Fadal
https://www.tamsenfadal.com/blog/chrissy-metz-shared-her-glp-1-decision-on-the-tamsen-show-heres-why-it-matters-more-than-you-think	blog	editorial	123	67	truncated	Chrissy Metz Shared Her GLP-1 Decision on The Tamsen Show. Here's Why It Matters More Than You Think. | Blog | Tamsen Fadal	Chrissy Metz Shared Her GLP-1 Decision on The Tamsen | Tamsen Fadal
https://www.tamsenfadal.com/podcast/from-sports-illustrated-to-sephora-how-molly-sims-reinvented-herself-in-midlife	podcast	auto	121	49	before-colon	From Sports Illustrated to Sephora: How Molly Sims Reinvented Herself in Midlife | The Tamsen Show Podcast | Tamsen Fadal	From Sports Illustrated to Sephora | Tamsen Fadal
https://www.tamsenfadal.com/podcast/what-breast-cancer-survivors-and-every-woman-should-know-about-early-menopause	podcast	editorial	121	68	truncated	What Breast Cancer Survivors (and Every Woman) Should Know About Early Menopause | The Tamsen Show Podcast | Tamsen Fadal	What Breast Cancer Survivors (and Every Woman) Should | Tamsen Fadal
https://www.tamsenfadal.com/blog/how-to-protect-yourself-from-emotionally-immature-people-without-losing-your-mind-the-tamsen-show	blog	editorial	121	64	truncated	How to Protect Yourself From Emotionally Immature People Without Losing Your Mind | The Tamsen Show | Blog | Tamsen Fadal	How to Protect Yourself From Emotionally Immature | Tamsen Fadal
https://www.tamsenfadal.com/blog/hidden-reason-behind-midlife-weight-gain	blog	editorial	120	67	truncated	The Hidden Reason Behind Midlife Weight Gain (It‚Äôs Not Just Diet and Exercise) | The Tamsen Show | Blog | Tamsen Fadal	The Hidden Reason Behind Midlife Weight Gain (It‚Äôs | Tamsen Fadal
https://www.tamsenfadal.com/podcast/are-you-being-love-bombed-the-narcissism-signs-youre-missing-with-dr-ramani	podcast	editorial	119	69	truncated	Are You Being Love Bombed? The Narcissism Signs You’re Missing with Dr. Ramani | The Tamsen Show Podcast | Tamsen Fadal	Are You Being Love Bombed? The Narcissism Signs You’re | Tamsen Fadal
https://www.tamsenfadal.com/podcast/how-getting-stronger-as-you-age-can-change-everything-with-dr-gabrielle-lyon	podcast	auto	119	68	drop-guest-clause	How Getting Stronger as You Age Can Change Everything with Dr. Gabrielle Lyon  | The Tamsen Show Podcast | Tamsen Fadal	How Getting Stronger as You Age Can Change Everything | Tamsen Fadal
https://www.tamsenfadal.com/podcast/one-of-americas-richest-self-made-women-on-how-to-start-before-you-feel-ready	podcast	editorial	119	65	truncated	One of America's Richest Self-Made Women on How to Start Before You Feel Ready | The Tamsen Show Podcast | Tamsen Fadal	One of America's Richest Self-Made Women on How to | Tamsen Fadal
https://www.tamsenfadal.com/blog/the-5-principles-of-strong-relationships-and-why-they-matter-beyond-parenting-the-tamsen-show	blog	editorial	119	69	truncated	The 5 Principles of Strong Relationships (and Why They Matter Beyond Parenting) | The Tamsen Show | Blog | Tamsen Fadal	The 5 Principles of Strong Relationships (and Why They | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-fasting-doctor-5-science-backed-tools-to-support-your-brain-in-menopause	podcast	auto	118	33	before-colon	The Fasting Doctor: 5 Science-Backed Tools to Support Your Brain in Menopause | The Tamsen Show Podcast | Tamsen Fadal	The Fasting Doctor | Tamsen Fadal
https://www.tamsenfadal.com/blog/have-you-heard-of-the-little-pink-pill-hermds-dr-somi-javaid-talks-sexual-health-in-menopause	blog	editorial	118	66	truncated	Have You Heard of the Little Pink Pill? HerMD's Dr. Somi Javaid Talks Sexual Health in Menopause | Blog | Tamsen Fadal	Have You Heard of the Little Pink Pill? HerMD's Dr. | Tamsen Fadal
https://www.tamsenfadal.com/blog/new-menopause-survey-results	blog	editorial	118	66	truncated	New Survey Reveals Women Need More Support in Their Community, Workplace and Their Relationships | Blog | Tamsen Fadal	New Survey Reveals Women Need More Support in Their | Tamsen Fadal
https://www.tamsenfadal.com/blog/the-caregiver-crisis-no-one-talks-about-why-taking-care-of-yourself-keeps-your-loved-one-alive	blog	auto	118	54	before-colon	The Caregiver Crisis No One Talks About: Why Taking Care of Yourself Keeps Your Loved One Alive  | Blog | Tamsen Fadal	The Caregiver Crisis No One Talks About | Tamsen Fadal
https://www.tamsenfadal.com/podcast/chrissy-metz-why-i-finally-said-yes-to-a-glp-1-and-stopped-blaming-myself	podcast	editorial	117	67	truncated	Chrissy Metz: Why I Finally Said Yes to a GLP-1 (And Stopped Blaming Myself) | The Tamsen Show Podcast | Tamsen Fadal	Chrissy Metz: Why I Finally Said Yes to a GLP-1 (And | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-closet-clean-out-guide-declutter-your-life-and-get-your-confidence-back	podcast	auto	117	41	before-colon	The Closet Clean Out Guide: Declutter Your Life and Get Your Confidence Back | The Tamsen Show Podcast | Tamsen Fadal	The Closet Clean Out Guide | Tamsen Fadal
https://www.tamsenfadal.com/podcast/the-muscle-episode-get-stronger-look-better-reverse-your-biological-age	podcast	auto	116	33	before-colon	The Muscle Episode: Get Stronger, Look Better & Reverse Your Biological Age | The Tamsen Show Podcast | Tamsen Fadal	The Muscle Episode | Tamsen Fadal
https://www.tamsenfadal.com/blog/visceral-fat-vs-subcutaneous-fat-the-tamsen-show	blog	editorial	116	61	truncated	Visceral Fat vs. Subcutaneous Fat, and Why the Difference Matters in Midlife | The Tamsen Show | Blog | Tamsen Fadal	Visceral Fat vs. Subcutaneous Fat, and Why the | Tamsen Fadal
https://www.tamsenfadal.com/podcast/jennie-garth-on-choosing-yourself-what-90210-taught-her-about-reinvention	podcast	auto	115	48	before-colon	Jennie Garth on Choosing Yourself: What 90210 Taught Her About Reinvention | The Tamsen Show Podcast | Tamsen Fadal	Jennie Garth on Choosing Yourself | Tamsen Fadal
