old_path,redirect_to
/category/(.*),/news
/privacy,/privacy-policy
/feed,/news
/a-better-etcs-onboard-no-more-no-less,/news/a-better-etcs-onboard-no-more-no-less
/digital-stms-will-accelerate-ertms-roll-out,/news/digital-stms-will-accelerate-ertms-roll-out
/geert-pauwels-ceo-of-lineas-wins-prestigious-european-railway-award,/news/geert-pauwels-ceo-of-lineas-wins-prestigious-european-railway-award
/nomination-of-stanislas-pinte-as-ceo-of-thesignallingcompany,/news/nomination-of-stanislas-pinte-as-ceo-of-thesignallingcompany
/shaping-the-train-positioning-algorithms-of-the-future,/news/shaping-the-train-positioning-algorithms-of-the-future
/the-signalling-company-and-try-and-cert-introduce-silicon-valley-best-practice-into-european-etcs-development,/news/the-signalling-company-and-try-and-cert-introduce-silicon-valley-best-practice-into-european-etcs-development
/positive-assessment-from-tuv-rheinland-for-ievc-product-design,/news/tuv-rheinland-positive-assessment-ievc
/skoda-group-acquires-a-majority-stake-in-the-signalling-company,/news/skoda-group-acquires-majority-stake
/thesignallingcompany-to-build-new-mobile-app-to-function-as-the-belgian-class-bsystem-tbl1-on-its-etcs-solution,/news/tsc-mobile-app-belgian-tbl1-plus
/first-locomotive-authorised-with-the-signalling-companys-software-defined-safety-system,/news/first-locomotive-authorised-tsc-platform
/introducing-the-worlds-1st-software-defined-etcs-certified-safety-system,/news/worlds-first-software-defined-etcs-certified
/stans-etcs-diary-11-days-australia,/news/stans-diary-11-days-in-australia
/the-signalling-companys-etcs-wins-railtech-innovation-award,/news/etcs-wins-railtech-innovation-award
/award-winning-etcs-soon-deployed-on-new-hybrid-regiojet-trains,/projects/skoda-regiojet
