Asset name,Asset link,Type,Bandwidth (bytes),File size (bytes),Requests,Change %,Where,Used by
Mariann_181225.png,https://cdn.prod.website-files.com/653a577d19cce92fb520a620/6943e38d1f4c8c4bfecc0b34_Mariann_181225.png,Image,959240834,2260845,446,-5.26,Trends for Public Affairs in 2026,"Trends for Public Affairs in 2026 in Blog Articles, Trends for Public Affairs in 2026 in Blog Articles, Trends for Public Affairs in 2026 in Blog Articles"
Inter-Bold.woff2,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/6537803a4d708b9edd7e4eb6_Inter-Bold.woff2,Font,139144436,106140,1305,-1.36,Font,
Inter-Medium.woff2,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/6537803a3a5768149f1dfab6_Inter-Medium.woff2,Font,138569315,105924,1302,-1.48,Font,
Inter-Regular.woff2,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/6537803a96ede267d5834437_Inter-Regular.woff2,Font,129419401,98868,1304,-1.40,Font,
Ulobby_general_06_green (1).png,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656f23147a2421a03dae324a_Ulobby_general_06_green%20(1).png,Image,118397471,1526381,88,9.19,Assets,
IMG_0342-kopi.jpeg,https://cdn.prod.website-files.com/653a577d19cce92fb520a620/69ddf310d1f53027400a5579_IMG_0342-kopi.jpeg,Image,106695483,3466002,45,-67.38,Why organisations fail at effective stakeholder management,Why organisations fail at effective stakeholder management in Blog Articles
Artboard 1 copy 18@4x-Ulobby_SoMe.jpg,,Image,104186167,539632,196,13.65,,
Ulobby_general_02_red.png,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656f23142d2631167e899ba2_Ulobby_general_02_red.png,Image,96604661,1679052,66,10.59,Assets,
1754555821591.jpeg,https://cdn.prod.website-files.com/653a577d19cce92fb520a620/689d97846d69ca5c6aff42a5_1754555821591.jpeg,Image,96076412,285232,350,-7.49,Sosun S. Breitenbach Appointed as New CEO of Ulobby,"Sosun S. Breitenbach Appointed as New CEO of Ulobby in Blog Articles, Sosun S. Breitenbach Appointed as New CEO of Ulobby in Blog Articles"
Ulobby_general_04_green.png,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656f23148203cb589cd60134_Ulobby_general_04_green.png,Image,79893949,1699050,56,9.30,Assets,
/webflow.schunk.0d741df778e0ff62.js,,JavaScript,78634470,48690,1615,31.25,Code,
Ulobby_general_03_red.png,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656f2315514bb9063223e907_Ulobby_general_03_red.png,Image,62459902,2081204,35,42.61,Assets,
plansbg.webp,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/653a5d487e07d7b7093906b3_plansbg.webp,Image,52352023,160306,360,16.99,Assets,
/webflow.schunk.10d9285bc5893c0c.js,,JavaScript,44125782,48067,918,,Code,
Ulobby_general_06_red.png,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656f2314454c14e5fe6d1b04_Ulobby_general_06_red.png,Image,42891949,1530982,34,55.54,Assets,
Sosun-kopi.jpeg,https://cdn.prod.website-files.com/653a577d19cce92fb520a620/68e4ce68f7c5dc6d17aed258_Sosun-kopi.jpeg,Image,40432196,1154288,46,133.17,Stakeholder Management in a Digital Age - From Spreadsheets to Strategic Engagement ,"Stakeholder Management in a Digital Age - From Spreadsheets to Strategic Engagement  in Blog Articles, Stakeholder Management in a Digital Age - From Spreadsheets to Strategic Engagement  in Blog Articles"
Bertel 2.webp,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656dd3fd691a242621cd4fc5_Bertel%202.webp,Image,37124611,2183008,19,70.69,Assets,
/webflow.schunk.36b8fb49256177c8.js,,JavaScript,35659599,14519,2456,-1.27,Code,
Mariann (1).webp,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656dd3fe8b86e53b5d88a822_Mariann%20(1).webp,Image,29997064,2498942,14,54.84,Assets,
inspir2.webp,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/6539193c0ec8babd399713dc_inspir2.webp,Image,25948126,55498,487,-4.13,Assets,
Ulobby-Data-Driven-Reports_redbg _web_@1x.webp,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/656083ab748b8aa9f51a19b7_Ulobby-Data-Driven-Reports_redbg%20_web_%401x.webp,Image,25389925,110578,94,4.66,Assets,
/ulobbyv2.webflow.shared.6d272acdc.min.css,,CSS,22619243,24775,913,,Code,
laptop.webp,https://cdn.prod.website-files.com/65377b9b48dc025491f04eba/65390b1c7b993c87fc2e091a_laptop.webp,Image,22350257,33830,692,-9.31,Assets,
/ulobbyv2.webflow.shared.856546408.min.css,,CSS,21635264,24392,887,,Code,
Mariann_181225-p-800.png,https://cdn.prod.website-files.com/653a577d19cce92fb520a620/6943e38d1f4c8c4bfecc0b34_Mariann_181225-p-800.png,Image,20458781,552233,37,23.30,Trends for Public Affairs in 2026,"Trends for Public Affairs in 2026 in Blog Articles, Trends for Public Affairs in 2026 in Blog Articles, Trends for Public Affairs in 2026 in Blog Articles"
